C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%),TOL(μm)
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06,9.66
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06,20.84
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06,28.2
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06,10.03
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03,10.45
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03,20.64
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03,25.21
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03,12.2
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03,12.49
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03,27.42
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03,17.14
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03,30.35
0.12,8.9,0.02,0,0.35,0.2,0,0.08,1.44,0.15,0,0,1.73E-03,37.58
0.12,8.91,0,0,0.49,0.2,0,0,1.44,0.15,0.0084,0,0,38.22
0.12,8.91,0,0,0.49,0.2,0,0,1.44,0.15,0.0084,0,0,7.4
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0,15.54
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0,28.16
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0,29.03
0.095,8.45,0.23,0.92,0.46,0.2,0,0.26,0,0,0,0,0,9
0.095,8.45,0.24,0.92,0.46,0.2,0,0.26,0,0,0,0,0,28
