AN,ANd,XPd,K,Hmix,MLC
26.63414634,0.106440042,0.059597622,92.29268293,-3.902439024,FCC
26.20754717,0.140120842,0.058714756,156.1132075,-0.825916696,FCC
25.28571429,0.201339318,0.052845264,158.4142857,-4.979591837,FCC
25.96296296,0.156008252,0.060498715,157.6111111,-1.700960219,FCC
27,0.135240138,0.064776946,93.38095238,-4.036281179,FCC
25.72727273,0.169905516,0.062108124,159.0545455,-2.512396694,FCC
26.84210526,0.068655456,0.087013607,149.7578947,1.950138504,FCC
25.47058824,0.134743207,0.058654175,99.72941176,-6.75432526,FCC
25.5,0.182288173,0.063565101,160.4464286,-3.265306122,FCC
25.28070175,0.193465003,0.064887864,161.7894737,-3.964296707,FCC
25.55813953,0.150783067,0.058409203,173.4883721,2.747431044,FCC
26.09090909,0.072084184,0.067396797,85.61818182,-10.74380165,FCC
26.42857143,0.066642314,0.088011414,110.2771429,-0.489795918,FCC
26.875,0.065612725,0.069586986,155.665,3.875,FCC
25.11428571,0.158064659,0.060802095,103.6514286,-7.993469388,FCC
32.83333333,0.285935982,0.100561965,84.7,-6.111111111,FCC
25.04545455,0.16217573,0.061192799,104.4090909,-8.223140496,FCC
25.635,0.117428447,0.060466029,95.599,-7.3763,FCC
25,0.188148877,0.059529807,131.5125,-7.03125,FCC
25.44444444,0.186294576,0.066562444,178.6444444,-2.962962963,FCC
26.11111111,0.066197231,0.081096673,105.0933333,0.098765432,FCC
25,0.182817456,0.061503245,176.3111111,0.888888889,FCC
27,0.065114746,0.048772436,175.6545455,4.958677686,FCC
23.175,0.259776921,0.09039705,168.6225,-19.955,FCC
26.375,0.106653876,0.071342421,86.55357143,-10.64413265,FCC
23.6,0.246492196,0.087340604,166.16,-17.6,FCC
26.4,0.091538227,0.076581672,138.76,-11.04,FCC
26,0.054392829,0.07834759,74.484,-4.16,FCC
26.6,0.077410753,0.05668329,140.52,-2.24,FCC
29.8,0.212657443,0.085185368,160.72,4.64,FCC
27,0.05237828,0.074337411,135.944,1.76,FCC
25.25,0.144808231,0.063027153,99.52045455,-8.925619835,FCC
27.13717694,0.083416816,0.074338349,135.5304175,1.772268971,FCC
25.74,0.089206322,0.078678922,77.73432,-5.265344,FCC
25.61,0.10225534,0.078829926,79.35948,-5.799824,FCC
25.48,0.11381205,0.078971163,80.98464,-6.322176,FCC
26,0.13099528,0.056636676,144.92,-0.71,FCC
25.85714286,0.058816646,0.078486305,72.39904762,-5.297052154,FCC
26.01886792,0.138371317,0.056868257,157.8679245,0.156639373,FCC
25.2,0.172790008,0.061527412,136.72,-4.6,FCC
25.09,0.142939383,0.079336266,85.86012,-7.816464,FCC
26.36363636,0.081309146,0.067636026,141.1909091,-3.702479339,FCC
28.5,0.201308941,0.080907016,71.02,-12,FCC
26.5,0.064446231,0.075948118,128.9033333,1.444444444,FCC
25.42105263,0.167859412,0.065760728,155.8736842,-4.148968914,FCC
25.45614035,0.166676126,0.062291241,156.1824561,-2.499230532,FCC
25.63636364,0.134377981,0.070924608,133.7363636,-7.280991736,FCC
48,0.447110823,0.075820299,26.64705882,0.968858131,MSS
25.8,0.062015504,0.060174397,91.66,-4.32,MSS
48.71428571,0.44255299,0.075463733,27.52857143,1.142857143,MSS
49.38888889,0.437922945,0.07508034,28.36111111,1.296296296,MSS
24.25,0.26942545,0.068273621,207.175,-8,MSS
21.30769231,0.315301163,0.072059346,194.9846154,-7.337278107,MSS
21.57142857,0.308577373,0.071808352,193.6507937,-6.984126984,MSS
26,0.06818502,0.073005547,121.0457143,2.612244898,MSS
26.625,0.074970514,0.075470704,157.3525,3.25,MSS
26.25,0.075592895,0.084271869,146.9925,4.5,MSS
26.5,0.068029269,0.082384121,145.305,4.6875,MSS
22,0.296907848,0.071242,191.4833333,-6.333333333,MSS
22.31034483,0.287870969,0.070709234,189.9137931,-5.802615933,MSS
24.11111111,0.249189048,0.063032572,157.4222222,-8.691358025,MSS
22.81818182,0.271968895,0.069613137,187.3454545,-4.826446281,MSS
23.18867925,0.259431777,0.068634777,185.4716981,-4.02990388,MSS
24.15789474,0.207738517,0.06559429,114.1789474,-10.90304709,MSS
24.25,0.218287457,0.06495626,180.1041667,-1.354166667,MSS
23.8,0.236789963,0.066679601,182.38,-2.56,MSS
24.4,0.194431113,0.070940697,108.34,-15.04,MSS
24.86666667,0.194180364,0.060934103,133.6133333,-7.253333333,MSS
23.75,0.193810028,0.075718292,138.9875,-9.3125,MSS
29.39215686,0.216867648,0.084518843,106.4117647,-3.629373318,MSS
24,0.207369566,0.073725628,109.6230769,-16.4260355,MSS
24.69230769,0.210366891,0.065747091,137.3538462,-8.426035503,MSS
24.53846154,0.208175018,0.06395619,138.7846154,-7.668639053,MSS
24.4,0.205081902,0.065199808,128.52,-8.47,MSS
29.37735849,0.21285882,0.082897823,117.5283019,-1.822712709,MSS
25.64150943,0.139711829,0.081006011,140.4754717,-0.270558918,MSS
23.71428571,0.207459944,0.079256123,145.4571429,-11.10204082,MSS
23.8,0.236043225,0.068760006,150.42,-7.92,MSS
25.1,0.309861822,0.090432918,156.08,-4.96,MSS
23.75,0.214781557,0.075034109,110.425,-17.16666667,MSS
24.41666667,0.21765541,0.066599369,141.2416667,-8.277777778,MSS
24.08333333,0.216062191,0.067745231,141.4916667,-7.555555556,MSS
24.96,0.151389304,0.07943841,87.48528,-8.290304,MSS
23.63636364,0.234709943,0.085235916,159.5727273,-15.40495868,MSS
29.36363636,0.20906431,0.081366633,127.8363636,-0.26446281,MSS
25.18181818,0.168325534,0.08137591,143.9854545,-1.917355372,MSS
24.66666667,0.192470171,0.079107915,143.352381,-3.305618544,MSS
24.9047619,0.196019677,0.081272481,168.8126984,-1.74351222,MSS
23.69230769,0.215463117,0.081166661,149.4384615,-12.26035503,MSS
24.89655172,0.201617526,0.064148431,164.6896552,-3.614744352,MSS
24.55172414,0.200847607,0.081690543,148.7965517,-3.971462545,MSS
29.34482759,0.203734664,0.079221043,141.9655172,1.688466112,MSS
22.83333333,0.29206203,0.057346744,176.15,-20.44444444,MSS
23.83333333,0.226491395,0.086283822,157.3833333,-16.66666667,MSS
25.33333333,0.077843155,0.087837869,65.72,-13.44444444,MSS
27,0.095629218,0.086144779,72.05333333,-15.16666667,MSS
29.33333333,0.20039991,0.077881489,150.6,2.777777778,MSS
24.86666667,0.154615237,0.070476504,126.0666667,-7.075555556,MSS
25.06451613,0.244462498,0.073724208,166.1612903,-4.474505723,MSS
24.91780822,0.155891463,0.070109357,128.6794521,-6.808031526,MSS
24.90909091,0.170715556,0.073414214,126.2818182,-10.84297521,MSS
25.30508475,0.167541836,0.070260243,151.3322034,-6.42344154,MSS
25.37288136,0.165295233,0.064004483,151.9288136,-3.343866705,MSS
24.97183099,0.157187468,0.06965368,131.4394366,-6.498710573,MSS
25.02898551,0.158502285,0.069095191,134.3594203,-6.141566898,MSS
25.19672131,0.167121486,0.073983056,147.0885246,-8.395592583,MSS
25.08955224,0.159834603,0.068416706,137.4537313,-5.729561149,MSS
23,0.2690237,0.063902711,164.3714286,-18.85714286,MSS
24.28571429,0.2061343,0.070449735,147.6142857,-7.755102041,MSS
24,0.197642354,0.08038258,131.9,-13.9375,MSS
24.11111111,0.185937705,0.084577219,118.1133333,-12.74074074,MSS
