Temperaing Temperature,C,Cr,Mo,Fatigue Strength (10E7 Cycles),Tensile Strength,Fracture Strength,Hardness
550,0.41,0.27,0,530,980,1669,312
550,0.4,0.04,0,516,951,1599,300
550,0.41,0.08,0,445,882,1587,287
550,0.46,0.26,0,551,1029,1689,321
550,0.43,0.19,0,510,964,1671,306
550,0.41,0.13,0,443,888,1634,297
600,0.42,0.15,0,449,837,1559,265
600,0.43,0.26,0,502,917,1592,287
600,0.42,0.12,0,451,837,1567,272
600,0.42,0.17,0,459,842,1558,270
600,0.42,0.12,0,497,890,1583,286
600,0.45,0.1,0,451,874,1580,277
600,0.41,0.27,0,497,897,1589,286
600,0.4,0.04,0,461,862,1559,270
600,0.41,0.08,0,399,801,1552,260
600,0.46,0.26,0,502,935,1612,294
600,0.43,0.19,0,490,878,1620,280
600,0.41,0.13,0,424,816,1558,273
650,0.42,0.15,0,411,757,1527,242
650,0.43,0.26,0,448,826,1575,260
650,0.42,0.12,0,404,755,1531,242
650,0.42,0.17,0,411,760,1535,243
650,0.42,0.12,0,438,790,1549,255
650,0.45,0.1,0,410,805,1497,250
650,0.41,0.27,0,450,829,1580,263
650,0.4,0.04,0,410,772,1531,242
650,0.41,0.08,0,383,737,1506,237
650,0.46,0.26,0,460,840,1568,265
650,0.43,0.19,0,442,794,1595,257
650,0.41,0.13,0,399,744,1524,241
550,0.32,0.82,0,563,988,1759,315
550,0.32,0.71,0,530,948,1738,299
550,0.32,0.75,0,570,1013,1744,319
550,0.35,0.89,0,578,1081,1749,341
550,0.31,0.71,0,537,962,1718,301
550,0.33,0.82,0,569,1014,1803,319
550,0.28,0.87,0,576,1022,1749,322
550,0.34,0.84,0,549,998,1772,313
550,0.3,0.81,0,522,989,1762,312
550,0.32,0.77,0,570,1010,1715,316
600,0.32,0.82,0,510,906,1683,288
600,0.32,0.71,0,510,886,1714,279
600,0.32,0.75,0,517,941,1728,296
600,0.35,0.89,0,540,1016,1716,318
600,0.31,0.71,0,518,897,1682,282
600,0.33,0.82,0,523,928,1692,292
600,0.28,0.87,0,537,950,1720,301
600,0.34,0.84,0,536,918,1690,291
600,0.3,0.81,0,503,901,1702,281
600,0.32,0.77,0,540,928,1709,290
650,0.32,0.82,0,490,840,1654,267
650,0.32,0.71,0,477,821,1682,261
650,0.32,0.75,0,483,849,1690,268
650,0.35,0.89,0,503,909,1669,286
650,0.31,0.71,0,471,833,1683,261
650,0.33,0.82,0,476,851,1685,267
650,0.28,0.87,0,502,850,1679,268
650,0.34,0.84,0,496,854,1686,268
650,0.3,0.81,0,471,838,1650,262
650,0.32,0.77,0,497,846,1707,264
580,0.39,0.72,0.18,591,1070,1777,342
580,0.4,0.78,0.18,590,1087,1792,338
580,0.4,0.96,0.24,606,1144,1822,359
580,0.4,0.71,0.17,584,1105,1806,347
580,0.38,0.75,0.23,604,1125,1884,354
580,0.4,0.74,0.2,591,1089,1842,340
580,0.42,0.73,0.22,588,1108,1840,345
580,0.38,0.72,0.16,588,1085,1776,347
580,0.41,0.74,0.22,550,1117,1840,348
580,0.39,0.82,0.23,609,1129,1829,360
580,0.38,0.74,0.19,604,1089,1788,348
580,0.42,0.86,0.24,619,1190,1909,369
580,0.37,0.9,0.24,643,1174,1867,367
580,0.43,0.68,0.17,569,1085,1824,345
630,0.39,0.72,0.18,551,957,1750,307
630,0.4,0.78,0.18,543,984,1733,307
630,0.4,0.96,0.24,543,1037,1746,328
630,0.4,0.71,0.17,524,985,1716,309
630,0.38,0.75,0.23,571,1020,1780,318
630,0.4,0.74,0.2,542,990,1761,310
630,0.42,0.73,0.22,531,1005,1755,315
630,0.38,0.72,0.16,531,962,1702,309
630,0.41,0.74,0.22,512,1003,1756,316
630,0.39,0.82,0.23,563,1004,1753,322
630,0.38,0.74,0.19,550,975,1713,312
630,0.42,0.86,0.24,583,1068,1800,337
630,0.37,0.9,0.24,583,1069,1800,336
630,0.43,0.68,0.17,550,973,1729,313
680,0.39,0.72,0.18,482,843,1684,270
680,0.4,0.78,0.18,482,868,1687,276
680,0.4,0.96,0.24,490,900,1672,282
680,0.4,0.71,0.17,476,864,1650,274
680,0.38,0.75,0.23,483,879,1691,276
680,0.4,0.74,0.2,480,875,1694,276
680,0.42,0.73,0.22,491,883,1667,280
680,0.38,0.72,0.16,471,848,1633,271
680,0.41,0.74,0.22,469,881,1626,279
680,0.39,0.82,0.23,490,874,1685,285
680,0.38,0.74,0.19,483,864,1656,279
680,0.42,0.86,0.24,498,912,1667,284
680,0.37,0.9,0.24,491,900,1717,283
680,0.43,0.68,0.17,463,855,1641,277
580,0.47,0.79,0,600,1149,1849,357
580,0.47,0.71,0,615,1111,1824,358
580,0.44,0.79,0,607,1151,1864,358
580,0.45,0.73,0,596,1072,1828,348
580,0.48,0.73,0,618,1138,1852,358
580,0.49,0.77,0,585,1167,1851,367
630,0.47,0.79,0,551,1032,1788,322
630,0.47,0.71,0,556,992,1748,318
630,0.44,0.79,0,550,1026,1769,323
630,0.45,0.73,0,537,969,1759,312
630,0.48,0.73,0,543,1012,1770,322
630,0.49,0.77,0,543,1046,1768,328
680,0.47,0.79,0,471,911,1669,288
680,0.47,0.71,0,476,878,1653,281
680,0.44,0.79,0,482,895,1625,287
680,0.45,0.73,0,477,860,1680,281
680,0.48,0.73,0,491,881,1668,286
680,0.49,0.77,0,479,909,1633,290
